TICKER,CUSIP,OFTIC,CNAME,PENDS,MEASURE,PDICITY,ANNDATS,ANNTIMS,ACTDATS,ACTTIMS,VALUE,CURR_ACT,USFIRM
IBM,45920010,IBM,INTL BUS MACH,1983-03-31,EPS,QTR,1983-04-15,0:00:00,1983-04-15,0:00:00,0.405,USD,1
IBM,45920010,IBM,INTL BUS MACH,1983-06-30,EPS,QTR,1983-07-14,0:00:00,1983-07-14,0:00:00,0.555,USD,1
IBM,45920010,IBM,INTL BUS MACH,1983-09-30,EPS,QTR,1983-10-17,0:00:00,1983-10-17,0:00:00,0.535,USD,1
IBM,45920010,IBM,INTL BUS MACH,1983-12-31,EPS,QTR,1984-01-20,0:00:00,1984-01-20,0:00:00,0.765,USD,1
IBM,45920010,IBM,INTL BUS MACH,1984-03-31,EPS,QTR,1984-04-13,0:00:00,1984-04-13,0:00:00,0.4925,USD,1
IBM,45920010,IBM,INTL BUS MACH,1984-06-30,EPS,QTR,1984-07-14,0:00:00,1984-07-14,0:00:00,0.6625,USD,1
IBM,45920010,IBM,INTL BUS MACH,1984-09-30,EPS,QTR,1984-10-13,0:00:00,1984-10-13,0:00:00,0.65,USD,1
IBM,45920010,IBM,INTL BUS MACH,1984-12-31,EPS,QTR,1985-01-18,0:00:00,1985-01-18,0:00:00,0.8875,USD,1
IBM,45920010,IBM,INTL BUS MACH,1985-03-31,EPS,QTR,1985-04-11,0:00:00,1985-04-11,0:00:00,0.4025,USD,1
IBM,45920010,IBM,INTL BUS MACH,1985-06-30,EPS,QTR,1985-07-15,0:00:00,1985-07-16,0:00:00,0.575,USD,1
IBM,45920010,IBM,INTL BUS MACH,1985-09-30,EPS,QTR,1985-10-14,0:00:00,1985-10-14,0:00:00,0.6,USD,1
IBM,45920010,IBM,INTL BUS MACH,1985-12-31,EPS,QTR,1986-01-17,0:00:00,1986-01-17,0:00:00,1.09,USD,1
IBM,45920010,IBM,INTL BUS MACH,1986-03-31,EPS,QTR,1986-04-14,0:00:00,1986-04-14,0:00:00,0.4125,USD,1
IBM,45920010,IBM,INTL BUS MACH,1986-06-30,EPS,QTR,1986-07-15,0:00:00,1986-07-15,0:00:00,0.53,USD,1
IBM,45920010,IBM,INTL BUS MACH,1986-09-30,EPS,QTR,1986-10-14,0:00:00,1986-10-14,0:00:00,0.44,USD,1
IBM,45920010,IBM,INTL BUS MACH,1986-12-31,EPS,QTR,1987-01-20,0:00:00,1987-01-20,0:00:00,0.57,USD,1
IBM,45920010,IBM,INTL BUS MACH,1987-03-31,EPS,QTR,1987-04-14,0:00:00,1987-04-14,0:00:00,0.325,USD,1
