,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Operating Expenses,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Income From Continuous Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Cash On Hand,Receivables,Inventory,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Share Holder Equity,Total Liabilities And Share Holders Equity,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
12/31/12,54512,33452,21060,1010,2840,3850,462,17672,4594,13078,13078,13078,18798,17210,26289.65,26522.08,0.4975,0.4932,39820,21534,1455,6644,72348,15422,97292,5843,5183,123740,196088,46879,,18925,21863,68742,17167,109567,612,127346,196088,13078,1588,1724,3312,-668,-664,6145,2223,7036,23426,-2317,-138,-284,-10730,,-10730,-52,-13521,-13521,,,,-1874,-1874,-2493,-130,-4497,5408,545,-2493,1.5433,,,38.6337,31.571,31.571,32.4186,23.9911,0.278,22.9911,2.5314,35.5529,10.2697,10.7635,6.6695,10.2697,4.8437,0.8833,0.7959
9/30/12,35966,21565,14401,906,2551,3457,-51,10893,2670,8223,8223,8223,11925,10944,26174.9,26469.93,0.3129,0.31,29129,18692,791,6458,57653,15452,92122,5359,5478,118411,176064,38542,,16664,19312,57854,16422,101289,499,118210,176064,8223,981,787,1768,-3273,331,2017,70,-855,9136,-3461,-40,0,-820,0,-820,8,-4313,-4313,0,0,0,232,232,-2488,234,-2022,2801,448,-2488,1.4958,,,40.0406,30.4287,30.4287,30.2869,22.8633,0.2043,27.263,1.9241,46.7742,6.9563,7.2866,4.6705,6.9563,4.495,0.348,0.2169
6/30/12,35023,20029,14994,876,2545,3421,288,11861,3037,8824,8824,8824,12408,11573,26224.69,26517.65,0.3364,0.3329,27654,14298,1122,6560,51943,10487,89567,5461,5438,110953,162896,33060,,15560,18090,51150,15573,95641,532,111746,162896,8824,835,1599,2434,-615,-20,-359,-75,-1069,10189,-2056,-907,0,-9339,0,-9339,-8,-12310,-12310,0,0,0,56,56,0,-111,-55,-2176,448,0,1.5712,,,42.8119,33.044,33.044,33.8663,25.1949,0.215,17.8512,2.4495,36.7421,7.8965,8.3022,5.417,7.8965,4.2581,0.3815,0.3042
3/31/12,39186,20622,18564,841,2339,3180,148,15532,3910,11622,11622,11622,16124,15384,26140.29,26457,0.4446,0.4393,28538,13769,1102,5050,50712,8847,81638,4745,4992,100222,150934,32036,,13954,16400,48436,14850,87124,524,102498,150934,11622,740,1883,2623,1898,134,-1505,-795,-268,13977,-1457,-52,-350,-12603,0,-12603,-14,-14476,-14476,0,0,0,286,286,0,24,310,-189,424,0,1.583,,,47.3741,39.2589,39.2589,39.6366,29.6586,0.2596,18.7133,2.846,31.6238,11.3388,11.8892,7.7001,11.3388,3.9152,0.526,0.4711
12/31/11,46333,25630,20703,758,2605,3363,137,17477,4413,13064,13064,13064,18061,17340,26069.15,26364.02,0.5011,0.4954,30156,16484,1236,4958,54771,7816,67445,4368,4281,83910,138681,34607,,11833,14020,48627,13961,75709,384,90054,138681,13064,721,1876,2597,-3561,-460,4314,1600,1893,17554,-1321,-108,,-15665,,-15665,-34,-17128,-17128,,,,91,91,,-22,69,495,420,0,1.5827,,,44.6831,37.4247,37.4247,37.7204,28.1959,0.3341,20.7363,2.8108,32.0195,14.5069,15.2464,9.4202,14.5069,3.4501,0.6658,0.6157
9/30/11,28270,16890,11380,645,2025,2670,81,8791,2168,6623,6623,6623,9253,8710,25879.22,26226.06,0.255,0.2521,25952,11717,776,4529,44988,7777,55618,4432,3556,71383,116371,27970,,10100,11786,39756,13331,62841,443,76615,116371,6623,543,934,1477,735,113,35,1446,2329,10429,-1645,-2926,-244,-8028,0,-8028,-293,-13136,-13136,0,0,0,254,254,0,177,431,-2276,298,0,1.6084,,,40.2547,30.8101,30.8101,31.0966,23.4277,0.2429,21.7655,2.4127,37.3021,8.6445,9.1753,5.6913,8.6445,2.9445,0.399,0.336
6/30/11,28571,16649,11922,628,1915,2543,172,9551,2243,7308,7308,7308,9860,9379,25931.02,26258.68,0.2818,0.2782,28395,11471,889,4251,46898,6749,47761,1910,3440,59860,106758,26859,,9149,10556,37415,12715,56239,389,69343,106758,7308,481,953,1434,-304,41,854,1775,2366,11108,-777,-185,0,-14092,0,-14092,22,-15032,-15032,0,0,0,83,83,0,-46,37,-3887,284,0,1.7461,,,41.7276,32.827,32.827,33.429,25.5784,0.2676,18.7278,2.4907,36.1342,10.5389,10.8374,6.8454,10.5389,2.6718,0.4218,0.3924
3/31/11,24667,14449,10218,581,1763,2344,26,7900,1913,5987,5987,5987,8308,7874,25849.49,26206.43,0.2318,0.2286,29234,11095,930,4055,46997,6241,36533,1248,3885,47907,94904,24327,,7870,9100,33427,12326,49025,126,61477,94904,5987,434,1027,1461,229,-45,-720,-693,-1229,6219,-624,-32,0,-901,0,-901,35,-1522,-1522,0,0,0,286,286,0,261,547,5244,287,0,1.9319,,,41.4238,31.9212,31.9212,32.0266,24.2713,0.2599,15.5366,2.2233,40.4812,9.7386,9.9404,6.3085,9.7386,2.3745,0.2362,0.2125
12/31/10,26741,16443,10298,575,1896,2471,136,7963,1959,6004,6004,6004,8183,7827,25740.23,26128.31,0.2332,0.2296,26977,10874,885,3467,43927,5868,32730,1263,2954,42815,86742,23795,,7065,8281,32076,11502,43050,114,54666,86742,6004,356,1122,1478,-517,166,2346,296,2291,9773,-1214,-49,,-9443,,-9443,-23,-10729,-10729,,,,208,208,,221,429,-527,299,,1.8461,,,38.5102,29.2697,29.2697,29.7782,22.4524,0.3083,18.5797,2.4592,36.5977,10.9831,11.2428,6.9217,10.9831,2.1197,0.374,0.3276
9/30/10,20343,12831,7512,494,1571,2065,14,5461,1153,4308,4308,4308,5776,5447,25464.91,25891.94,0.1682,0.1657,25620,9924,1051,3447,41678,4768,25391,1083,2263,33505,75183,20722,,5531,6670,27392,10668,37169,-46,47791,75183,4308,329,366,695,-2063,-109,3495,-643,680,5683,-760,-53,-23,-3563,0,-3563,16,-4383,-4383,0,0,0,179,179,0,77,256,1556,224,0,2.0113,,,36.9267,26.7758,26.7758,26.8446,21.1768,0.2706,12.2084,2.0499,43.905,9.0143,9.2233,5.73,9.0143,1.8634,0.2209,0.1914
6/30/10,15700,9564,6136,464,1438,1902,58,4292,1039,3253,3253,3253,4507,4234,25541.52,25966.11,0.1275,0.1254,24288,6399,942,3188,36033,3990,21551,1032,2119,28692,64725,15612,,4981,6002,21614,10133,32870,108,43111,64725,3253,273,624,897,-561,-304,2830,-1314,651,4801,-595,-31,-290,-4468,0,-4468,-46,-5430,-5430,0,0,0,199,199,0,117,316,-313,219,0,2.308,,,39.0828,26.9682,26.9682,27.3376,20.7198,0.2426,10.1529,2.4535,36.6822,7.5456,7.7307,5.0259,7.5456,1.6855,0.1834,0.1606
3/31/10,13499,7874,5625,426,1220,1646,50,4029,955,3074,3074,3074,4195,3979,25411.34,25840.58,0.1211,0.1189,23155,2886,638,4515,32336,3504,18549,743,1925,24721,57057,12229,,4539,5480,17709,9553,29670,125,39348,57057,3074,216,699,915,211,-62,-974,-834,-1659,2330,-274,-27,-325,463,0,463,80,-83,-83,0,0,0,160,160,0,2,162,2409,231,0,2.6442,,,41.6698,29.4763,29.4763,29.8467,22.7721,0.2366,12.3417,4.6774,19.2414,7.8123,7.9627,5.3876,7.8123,1.5449,0.0894,0.0788
12/31/09,15683,9272,6411,398,1288,1686,33,4758,1380,3378,3378,3378,4934,4725,25299.18,25753.92,0.1336,0.1311,24796,3090,576,3690,33332,3115,15024,494,1961,20594,53926,13097,,4139,5061,18158,8962,26695,111,35768,53926,3378,209,630,839,271,-121,956,458,1564,5781,-376,-5,,-3507,,-3507,-70,-3958,-3958,,,,374,374,,149,523,2346,205,,2.545,,,40.8787,30.1282,30.1282,30.3386,21.5393,0.2908,16.0972,5.0754,17.7326,9.4442,9.5765,6.2641,9.4442,1.4095,0.2245,0.2099
9/30/09,12207,7102,5105,358,1063,1421,45,3729,1197,2532,2532,2532,3887,3684,25004.45,25396.14,0.1004,0.0993,23464,5057,455,1444,31555,2954,10528,453,2011,15946,47501,11506,,3502,4355,15861,8210,23353,77,31640,47501,2532,203,430,633,-675,-75,740,-45,-55,3110,-459,-13,0,-3247,61,-3186,-113,-3771,-3771,0,0,0,187,187,0,132,319,-342,180,0,2.7425,,,41.8203,30.1794,30.1794,30.548,20.7422,0.257,15.6088,2.4139,37.2843,8.0025,8.1188,5.3304,8.0025,1.2558,0.1231,0.105
6/30/09,9734,5751,3983,341,1010,1351,60,2692,864,1828,1828,1828,2814,2632,25023.94,25456.48,0.0732,0.0718,24222,2686,380,6151,35170,2653,6899,466,2952,12970,48140,16661,,1924,5591,22252,7957,17878,53,25888,48140,1828,182,391,573,-754,-68,879,-188,-131,2270,-246,-26,0,-1053,-7,-1060,-7,-1339,-1339,0,0,0,166,166,0,42,208,1139,179,0,2.1109,,,40.9184,27.0393,27.0393,27.6556,18.7795,0.2022,15.1342,3.624,24.8346,7.0612,7.1906,3.7973,7.0612,1.0322,0.0879,0.0783
3/31/09,9084,5457,3627,319,985,1304,63,2386,766,1620,1620,1620,2504,2323,24953.04,25283.8,0.065,0.0639,25013,1932,312,5057,33853,2546,3865,475,2498,9384,43237,13751,,1715,5175,18926,7643,16653,15,24311,43237,3875,349,929,1278,490,197,-1527,466,-374,4779,-439,-30,0,-11746,-54,-11800,-55,-12324,-12324,0,0,0,122,122,0,14,136,-7409,351,0,2.4619,,,39.9274,25.5724,25.5724,26.266,17.8336,0.2101,17.4904,4.7019,19.1414,6.6637,6.7964,3.7468,6.6637,0.9735,0.189,0.1717
