,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Cash On Hand,Receivables,Inventory,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit,Comprehensive Income,Share Holder Equity,Total Liabilities And Share Holders Equity,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
9/30/11,17372,3777,13595,2329,4063,6392,7203,103,7306,1568,5738,,5738,5738,7929,7203,8392,8490,0.68,0.68,57403,10153,2270,3255,75271,8033,8576,13563,1972,32144,107415,25543,11927,8201,22481,48024,63492,-4101,,59391,107415,5738,726,-654,72,4733,-920,-442,-688,2683,8493,-436,,-875,,-938,-938,-66,-2315,,,,-1598,-1598,-1341,70,-2869,3271,558,-1341,2.9468,0.1672,0.2008,78.2581,41.4633,41.4633,,42.0562,33.0302,0.1617,1.6639,1.711,52.6002,9.6614,12.5207,5.3419,8.0457,7.062,1.0004,0.949
6/30/11,17367,3708,13659,2393,5095,7488,6171,148,6319,445,5874,,5874,5874,6860,6171,8490,8593,0.7,0.69,52772,14987,1372,3320,74918,8162,10865,13325,1434,33786,108704,28774,11921,8072,22847,51621,63415,-6332,,57083,108704,5874,689,5032,5721,-4886,-303,293,-757,-5653,5942,-642,0,-2,0,-269,-269,-37,-950,0,0,0,-1076,-1076,-1350,3,-2423,2589,544,-1350,2.6037,0.1728,0.2088,78.6492,35.5329,35.5329,,36.3851,33.8228,0.1598,2.7026,1.1588,77.6663,10.2903,13.4238,5.4037,8.5125,6.8151,0.6676,0.5948
3/31/11,16428,3897,12531,2269,4553,6822,5709,316,6025,793,5232,,5232,5232,6429,5709,8420,8510,0.62,0.61,50150,10033,1056,2438,66263,7969,10748,13394,1353,33464,99727,24042,11915,8001,22233,46275,63234,-9782,,53452,99727,5232,720,-55,665,3031,-170,-51,-35,2775,8672,-658,0,0,0,-6370,-6370,-111,-7139,2239,0,2239,557,557,-1349,-10,1437,2998,541,-1349,2.7561,0.1823,0.2229,76.2783,34.7516,34.7516,,36.6752,31.8481,0.1647,3.6903,1.6374,54.9653,9.7882,13.0611,5.2463,8.004,6.3399,1.0292,0.951
12/31/10,19953,4833,15120,2185,4770,6955,8165,332,8497,1863,6634,,6634,6634,8828,8165,8497,8570,0.78,0.77,41252,12874,861,2149,59684,7799,10022,13494,1307,32622,92306,24312,9671,7662,19513,43825,61646,-13165,,48481,92306,6634,663,-261,402,-3270,380,216,-176,-2850,4186,-491,0,-69,0,-1457,-1457,447,-1570,0,-1000,-1000,-4392,-4392,-1363,4,-6751,-4138,553,-1363,2.4549,0.1663,0.1995,75.7781,40.9212,40.9212,,42.5851,33.2481,0.2162,5.6132,1.5499,58.0695,13.6837,18.9613,7.187,11.408,5.7695,0.5022,0.444
9/30/10,16195,3139,13056,2196,3744,5940,7116,114,7230,1820,5410,,5410,5410,7810,7116,8614,8695,0.63,0.62,44173,9646,1242,2176,59581,7771,9211,13548,1429,31959,91540,25857,9665,7384,18741,44598,61935,-14993,,46942,91540,5410,694,-635,59,3674,-468,-400,-81,2725,8194,-564,,,,-5120,-5120,727,-4957,3907,814,4721,-4222,-4222,-1118,-20,-639,2656,528,-1118,2.3043,0.1707,0.2272,80.6175,43.9395,43.9395,,44.6434,33.4054,0.1769,2.5274,1.6789,53.6054,11.5249,16.2005,5.91,9.5571,5.4826,0.9424,0.8775
6/30/10,16039,3170,12869,2350,4589,6939,5930,94,6024,1506,4518,,4518,4518,6648,5930,8813,8927,0.52,0.51,36788,13014,740,2950,55676,7630,7754,13552,1501,30437,86113,26147,4939,7445,13791,39938,62856,-16681,,46175,86113,4518,718,2733,3451,-4144,-260,755,1284,-2365,5604,-758,0,0,0,-749,-749,-2612,-4119,487,-545,-58,-2927,-2927,-1130,17,-4098,-2650,482,-1130,2.1293,0.0966,0.1286,80.2357,36.9724,36.9724,,37.5585,28.1688,0.1863,4.2838,1.2324,73.0258,9.7845,13.8491,5.2466,8.8391,5.3271,0.6159,0.5318
3/31/10,14503,2755,11748,2220,4355,6575,5173,168,5341,1335,4006,,4006,4006,5867,5173,8767,8876,0.46,0.45,39666,9137,501,2992,54518,7372,7797,13745,1478,30392,84910,26424,3746,7113,12776,39200,62517,-16807,,45710,84910,4006,694,-150,544,1947,77,122,697,2843,7393,-408,0,-143,0,-5236,-5236,-117,-5904,349,-349,0,-1601,-1601,-1139,14,-2726,-1267,481,-1139,2.0632,0.0757,0.1312,81.0039,35.6685,35.6685,,36.8269,27.6219,0.1708,5.499,1.5873,56.7007,8.7639,12.5325,4.7179,8.1001,5.2168,0.8434,0.7966
12/31/09,19022,3628,15394,2079,4802,6881,8513,370,8883,2221,6662,,6662,6662,9128,8513,8856,8951,0.75,0.74,36099,11196,589,2547,52487,7402,6976,13714,1517,29609,82096,25715,3746,6808,12098,37813,62566,-18283,,44283,82096,6662,615,-1368,-753,-2789,558,3,1288,-940,4969,-376,0,-63,0,970,970,-623,-92,473,-475,-2,-3138,-3138,-1152,15,-4277,599,485,-1152,2.0411,0.078,0.1354,80.9274,44.7534,44.7534,,46.6986,35.0226,0.2317,6.1596,1.699,52.9724,15.0442,21.7933,8.1149,13.8708,5.0259,0.5576,0.5154
9/30/09,12920,2842,10078,2065,3531,5596,4482,283,4765,1191,3574,,3574,3574,5128,4482,8914,8983,0.4,0.4,36728,8587,1150,3325,52231,7512,6006,14235,1628,29381,81612,28761,3746,6537,11639,40400,62293,-21081,,41212,81612,3574,646,764,1410,2748,-419,-36,-1170,1123,6107,-435,,-39,,-2575,-2575,1850,-1199,-128,378,250,-1292,-1292,-1157,9,-2190,2747,443,-1157,1.816,0.0833,0.1455,78.0031,34.6904,34.6904,,36.8808,27.6625,0.1583,2.4713,1.5046,59.8166,8.6722,13.2483,4.3793,7.9496,4.6306,0.6798,0.6314
6/30/09,13099,2586,10513,2225,4301,6526,3987,155,4142,1097,3045,,3045,3045,4668,3987,8945,8996,0.35,0.34,31447,11192,717,3711,49280,7535,4933,14262,1599,28608,77888,27034,3746,6269,11296,38330,62382,-22824,,39558,77888,3045,681,2720,3401,-1820,255,-671,-369,-2605,3841,-867,0,-41,0,-7099,-7099,150,-7857,4240,-489,3751,121,121,-1158,-15,2699,-1209,416,-1158,1.8229,0.0865,0.1453,80.258,30.4374,30.4374,,31.6207,23.2461,0.1682,3.6067,1.1704,76.8975,7.6976,12.0375,3.9095,7.0317,4.4407,0.4096,0.3158
3/31/09,13648,2814,10834,2212,4184,6396,4438,-388,4050,1073,2977,,2977,2977,5102,4438,8891,8904,0.33,0.33,25340,9182,657,3619,40724,7112,4112,14310,1639,28129,68853,23823,,6699,8087,31910,61896,-24953,,36943,68853,11524,1881,-636,1245,4035,0,0,-1608,2427,15196,-2252,0,-827,0,-3754,-3754,-1080,-7913,328,1667,1995,-8895,-8895,-3310,48,-10162,-3054,1292,-3310,1.7094,,0.0541,79.3816,32.5176,32.5176,,29.6747,21.8127,0.1982,4.2831,1.4864,60.5495,8.0584,13.1534,4.3237,8.0584,4.1518,1.7066,1.4537
