secid,date,days,volatility,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group
106276,2001-08-31,10,0.362679,45920010,IBM,3570,0,1,,0,
106276,2001-08-31,14,0.333682,45920010,IBM,3570,0,1,,0,
106276,2001-08-31,30,0.252249,45920010,IBM,3570,0,1,,0,
106276,2001-08-31,60,0.28243,45920010,IBM,3570,0,1,,0,
106276,2001-08-31,91,0.253438,45920010,IBM,3570,0,1,,0,
106276,2001-08-31,122,0.253332,45920010,IBM,3570,0,1,,0,
106276,2001-08-31,152,0.322483,45920010,IBM,3570,0,1,,0,
106276,2001-08-31,182,0.367149,45920010,IBM,3570,0,1,,0,
106276,2001-08-31,273,0.439215,45920010,IBM,3570,0,1,,0,
106276,2001-08-31,365,0.477718,45920010,IBM,3570,0,1,,0,
106276,2001-08-31,547,0.4681,45920010,IBM,3570,0,1,,0,
106276,2001-08-31,730,0.462037,45920010,IBM,3570,0,1,,0,
106276,2001-08-31,1825,0.39327,45920010,IBM,3570,0,1,,0,
106276,2001-09-04,10,0.278098,45920010,IBM,3570,0,1,,0,
106276,2001-09-04,14,0.351937,45920010,IBM,3570,0,1,,0,
106276,2001-09-04,30,0.25754,45920010,IBM,3570,0,1,,0,
106276,2001-09-04,60,0.263907,45920010,IBM,3570,0,1,,0,
106276,2001-09-04,91,0.249586,45920010,IBM,3570,0,1,,0,
106276,2001-09-04,122,0.250851,45920010,IBM,3570,0,1,,0,
106276,2001-09-04,152,0.30095,45920010,IBM,3570,0,1,,0,
106276,2001-09-04,182,0.367197,45920010,IBM,3570,0,1,,0,
106276,2001-09-04,273,0.435729,45920010,IBM,3570,0,1,,0,
106276,2001-09-04,365,0.477813,45920010,IBM,3570,0,1,,0,
106276,2001-09-04,547,0.464539,45920010,IBM,3570,0,1,,0,
106276,2001-09-04,730,0.462262,45920010,IBM,3570,0,1,,0,
106276,2001-09-04,1825,0.393561,45920010,IBM,3570,0,1,,0,
106276,2001-09-05,10,0.254311,45920010,IBM,3570,0,1,,0,
106276,2001-09-05,14,0.332895,45920010,IBM,3570,0,1,,0,
106276,2001-09-05,30,0.25533,45920010,IBM,3570,0,1,,0,
106276,2001-09-05,60,0.261852,45920010,IBM,3570,0,1,,0,
106276,2001-09-05,91,0.249851,45920010,IBM,3570,0,1,,0,
106276,2001-09-05,122,0.249918,45920010,IBM,3570,0,1,,0,
106276,2001-09-05,152,0.30146,45920010,IBM,3570,0,1,,0,
106276,2001-09-05,182,0.366908,45920010,IBM,3570,0,1,,0,
106276,2001-09-05,273,0.429044,45920010,IBM,3570,0,1,,0,
106276,2001-09-05,365,0.477702,45920010,IBM,3570,0,1,,0,
106276,2001-09-05,547,0.464623,45920010,IBM,3570,0,1,,0,
106276,2001-09-05,730,0.461867,45920010,IBM,3570,0,1,,0,
106276,2001-09-05,1825,0.3935,45920010,IBM,3570,0,1,,0,
106276,2001-09-06,10,0.260536,45920010,IBM,3570,0,1,,0,
106276,2001-09-06,14,0.34857,45920010,IBM,3570,0,1,,0,
106276,2001-09-06,30,0.2654,45920010,IBM,3570,0,1,,0,
106276,2001-09-06,60,0.264295,45920010,IBM,3570,0,1,,0,
106276,2001-09-06,91,0.253425,45920010,IBM,3570,0,1,,0,
106276,2001-09-06,122,0.252751,45920010,IBM,3570,0,1,,0,
106276,2001-09-06,152,0.302294,45920010,IBM,3570,0,1,,0,
106276,2001-09-06,182,0.368125,45920010,IBM,3570,0,1,,0,
106276,2001-09-06,273,0.429613,45920010,IBM,3570,0,1,,0,
106276,2001-09-06,365,0.478238,45920010,IBM,3570,0,1,,0,
106276,2001-09-06,547,0.464266,45920010,IBM,3570,0,1,,0,
106276,2001-09-06,730,0.46183,45920010,IBM,3570,0,1,,0,
106276,2001-09-06,1825,0.393499,45920010,IBM,3570,0,1,,0,
106276,2001-09-07,10,0.258154,45920010,IBM,3570,0,1,,0,
106276,2001-09-07,14,0.233843,45920010,IBM,3570,0,1,,0,
106276,2001-09-07,30,0.263139,45920010,IBM,3570,0,1,,0,
106276,2001-09-07,60,0.263554,45920010,IBM,3570,0,1,,0,
106276,2001-09-07,91,0.254117,45920010,IBM,3570,0,1,,0,
106276,2001-09-07,122,0.251575,45920010,IBM,3570,0,1,,0,
106276,2001-09-07,152,0.301683,45920010,IBM,3570,0,1,,0,
106276,2001-09-07,182,0.355254,45920010,IBM,3570,0,1,,0,
106276,2001-09-07,273,0.429502,45920010,IBM,3570,0,1,,0,
106276,2001-09-07,365,0.478161,45920010,IBM,3570,0,1,,0,
106276,2001-09-07,547,0.464278,45920010,IBM,3570,0,1,,0,
106276,2001-09-07,730,0.461892,45920010,IBM,3570,0,1,,0,
106276,2001-09-07,1825,0.393404,45920010,IBM,3570,0,1,,0,
106276,2001-09-10,10,0.235901,45920010,IBM,3570,0,1,,0,
106276,2001-09-10,14,0.233806,45920010,IBM,3570,0,1,,0,
106276,2001-09-10,30,0.26625,45920010,IBM,3570,0,1,,0,
106276,2001-09-10,60,0.242961,45920010,IBM,3570,0,1,,0,
106276,2001-09-10,91,0.252616,45920010,IBM,3570,0,1,,0,
106276,2001-09-10,122,0.248717,45920010,IBM,3570,0,1,,0,
106276,2001-09-10,152,0.297888,45920010,IBM,3570,0,1,,0,
106276,2001-09-10,182,0.350922,45920010,IBM,3570,0,1,,0,
106276,2001-09-10,273,0.428816,45920010,IBM,3570,0,1,,0,
106276,2001-09-10,365,0.47732,45920010,IBM,3570,0,1,,0,
106276,2001-09-10,547,0.463946,45920010,IBM,3570,0,1,,0,
106276,2001-09-10,730,0.461835,45920010,IBM,3570,0,1,,0,
106276,2001-09-10,1825,0.393638,45920010,IBM,3570,0,1,,0,
106276,2001-09-17,10,0.356284,45920010,IBM,3570,0,1,,0,
106276,2001-09-17,14,0.2696,45920010,IBM,3570,0,1,,0,
106276,2001-09-17,30,0.306601,45920010,IBM,3570,0,1,,0,
106276,2001-09-17,60,0.245162,45920010,IBM,3570,0,1,,0,
106276,2001-09-17,91,0.265592,45920010,IBM,3570,0,1,,0,
106276,2001-09-17,122,0.253293,45920010,IBM,3570,0,1,,0,
106276,2001-09-17,152,0.28283,45920010,IBM,3570,0,1,,0,
106276,2001-09-17,182,0.340801,45920010,IBM,3570,0,1,,0,
